x,y,maxoutput
44,6,48.76400191
13,35,44.09168174
27,6,38.4723184
14,21,36.40331775
50,40,44.36102572
15,40,55.71262043
36,36,45.9622578
3,4,36.90684143
26,48,49.9985406
44,18,63.12038188
32,41,63.7118043
33,5,56.91378259
31,19,40.60892953
4,1,35.82814756
48,26,36.88169378
10,4,64.52218421
14,40,39.38884807
17,9,49.84931475
47,30,61.0137363
16,47,62.28650955
32,4,36.98224478
8,19,64.06758851
15,19,41.79763764
32,8,56.03098521
45,12,64.50983467
50,29,53.17296019
4,40,36.37710418
40,32,55.38231616
48,41,61.3949773
36,32,52.84858044
25,5,37.73044496
41,2,47.48157843
50,18,36.13312321
21,37,47.33240149
45,50,57.24475908
40,29,63.05172666
5,29,40.77396592
5,3,54.13000914
33,28,57.01992312
8,42,49.57599547
9,26,48.83351279
31,15,64.4517609
23,10,39.91374306
14,48,64.79397046
49,7,58.44840778
43,40,52.20518124
37,18,51.14671974
0,38,41.12708974
29,28,48.50865344
28,5,59.78619507
20,2,39.31626881
47,27,58.76139914
25,16,63.73606908
1,1,52.204709
27,5,36.7394839
26,18,39.8339645
47,19,40.4929237
6,9,61.5437326
17,15,52.23919855
